District,Cold Storage_Name,Capacity and UOM,Latitude,Longitude
Samastipur,Kashyap Cold Storage Pvt. Ltd.,5653.8 MT,25.8815,85.76079
Nalanda,M/S baba baijnath shitgrih,2248.8 MT,25.233036,85.516146
Samastipur,Mishri Saw Ware housing Pvt. Ltd.,5297.5 MT,25.884011,85.985111
Purbi Champaran,Me.prasad agrico industrise pvt,11812.5 MT,26.646,84.5803
Katihar,Anushree Cold storage Pvt ltd,8000 MT,25.5,87.56
Muzaffarpur,D.K. ICE AND COLD STORAGE,5039.6 MT,26.011052,85.3065
Muzaffarpur,JAI DURGA COLD STORAGE,6425.3 MT,26.163363,85.432241
Nalanda,M/S Aasha Nagar cold storage and industries,1679.1 MT,25.220403,85.510489
Nalanda,M/S Biharsharif cold storage private limited,2077.6 MT,25.211978,85.514992
Purbi Champaran,Jai Mata Di Cold Storage,6100.7 MT,26.432024,85.12912
Nalanda,M/S sankat mochan cold storage private limited,4352.9 MT,25.230742,85.49636
Nalanda,"M,/S Mehta frijing house private limited",5944.1 MT,25.235868,85.51155
Nalanda,M/S Nalanda shamrat cold storage private limited,3098.8 MT,25.221379,85.504088
Nalanda,M/S Nalanda fruit preservation,254.1 MT,25.212937,85.500931
Nalanda,M/S Hari Vishnu cold storage private limited,6326.4 MT,25.20956,85.499842
Nalanda,M/S metalait fruits processing private limited,7353.8 MT,25.216558,85.22707
Muzaffarpur,"M/S MANI COLD STORAGE, PVT. LTD.",14105.8 MT,25.998847,85.621689
Nalanda,M/S Ravishankar cold storage private limited,1966.6 MT,25.199893,85.503305
Nalanda,M/S Ramchandra cold storage private limited,2681.4 MT,25.1972° N,85.5204° E
Muzaffarpur,BELA COLD STORAGE,6065.5 MT,26.093842,85.416956
Begusari,Vinod Cold Storage Pvt. Ltd,6775.4 MT,25.442,86.049
Purbi Champaran,Shree mahaveer ice & cold storage pvt.ltd.,5833.1 MT,26.691988,85.170939
Darbhanga,ASHA COLD STORAGE,6525.5 MT,26.084087,85.542347
Samastipur,Simri Cold Storage Pvt. Ltd.,5280 MT,25.62888,85.76596
Rohtas,HIMANI COLD STORAGE,1529.1 MT,24.939932,84.026938
Rohtas,KUSHWAHA AGRITECH PVT LTD.,5500 MT,24.954371,84.084924
Patna,MAA DURGA COLD STORAGE,2247.6 MT,25.633148,85.067394
Patna,SHALIMAR COLD STORAGE,4881.7 MT,25.582361,85.097355
Patna,VISHAL MULTI COLD STORAGE,1415.8 MT,25.584192,84.944108
Patna,R S MULTI COLD STORAGE,774.1 MT,25.610428,85.178794
Patna,MAHADEV COLD STORAGE,3534.2 MT,25.6429° N,85.0645° E
